[3.6738523564303134, 1.3090276055941104]
[5.652798965018867, 1.0718856731216428]
[2.0247699462531075, 3.615284355294377]
[2.0078168369518425, 3.783574680845508]
[2.6465642704404226, 5.860467754848866]
[7.999400033555254, 3.940004677609513]
[4.265530662144828, 6.9087032835527555]
[6.789787298808552, 6.407625682082576]
[4.791342388604645, 6.992734869848444]
[4.803404518772876, 6.993551438803261]
[3.598426390476504, 6.652468928580932]
[4.663100706447301, 6.981023124030354]
[7.339593878357531, 5.877844637969809]
[3.629642015503591, 6.668729846636213]
[3.876984918679697, 6.781876547786971]
[2.279450370214457, 2.7356386150021246]
[5.897765074755655, 6.862519496972723]
[7.708125893149665, 5.290757199031765]
[5.881183562586527, 6.867667262606894]
[2.1060423987301062, 3.20942463860034]
[2.7058344451356007, 5.933081583087926]
[4.688987491332257, 1.0161650147080525]
[5.9817245596607185, 1.1651778029373752]
[2.423186448393065, 5.536239538696636]
[7.43413969014412, 5.75355751798026]
[4.586533627180882, 1.0286290102803046]
[5.1067251593163, 1.001898977624518]
[2.617303268240019, 5.822842912721857]
[3.3653868272450493, 1.4844404647363256]
[4.089982021036618, 6.85864780586266]
[7.581203368204019, 2.471147759928309]
[6.5077233901717415, 1.406398222793439]
[5.781851630793067, 1.1036733562275436]
[7.875108391909182, 3.143406902448196]
[5.322807748334686, 6.982581961592185]
[2.1204474294250453, 3.1584674734181863]
[4.649769663167428, 1.020513683340341]
[5.953439479578983, 1.1555399178789383]
[2.685098327984965, 5.908200788413525]
[6.933345524850454, 6.293943129534977]
[2.8963100945163758, 1.8611945433101447]
[7.3745966460265, 5.8333823301973045]
[4.169542630679229, 1.1172338704395695]
[7.997136061162877, 4.1310550681090925]
[2.1217633159476534, 4.846022216360394]
[2.024239502831916, 4.380590939847438]
[7.1895010903924055, 6.050874197792363]
[2.023201144185319, 4.372382292839502]
[2.000000260528118, 3.9987497325712953]
[2.959151497416655, 6.198849105669445]
[7.3850976589125255, 2.1802997066961853]
[6.999022010773139, 1.7630576671615974]
[7.317951431940626, 2.0955050120400944]
[5.09642614531102, 6.998449932631935]
[7.9604176676859035, 4.48572341188495]
[2.8573078201475735, 6.099730988102823]
[7.266979497315963, 5.964892861900889]
[4.167207449998571, 1.117907605807524]
[4.756398143116539, 6.990093332209369]
[7.075749970840294, 6.1659321454183456]
[4.369360986688835, 6.932966831535931]
[2.535584728258695, 5.710747605115445]
[4.725174752270137, 1.0126146744669478]
[2.08943789334715, 4.727068238418185]
[4.051866541955511, 6.846233115142995]
[3.677983544986729, 1.306995638199941]
[7.879156983380154, 4.842884965492496]
[5.760555534289558, 6.9019916056497355]
[3.8514289030730886, 1.2285771821491922]
[5.038582956451718, 1.0002481176818234]
[7.412466867275414, 5.783256463411348]
[7.742157858790407, 5.216786866083789]
[2.0019893776969777, 3.890764893197074]
[3.3364266331467642, 1.5034977161843837]
[7.984633362219531, 4.303255161746893]
[2.2336119054488193, 5.160645040624173]
[4.534422771918654, 6.96365278747226]
[7.581217350966198, 5.528828632342764]
[6.426407995957615, 6.639196890924999]
[4.3301161388822145, 6.924253000787368]
[2.064102303146867, 4.616850641251567]
[7.284611235757209, 5.944364035218692]
[2.8175308850675798, 1.9416442089944463]
[7.170771912441301, 1.9293118766564739]
[3.7908732270199152, 1.2544558923843954]
[7.730504284199383, 5.242717326655107]
[3.2137852189624603, 1.5897226806852673]
[3.000105135871081, 1.7638379905671475]
[7.995446928848085, 4.165220145425961]
[2.7534224553676845, 5.9881874499035135]
